t,N,S,E,W
1,G,G,R,R
2,G,G,R,R
3,G,G,R,R
4,G,G,R,R
5,G,G,R,R
6,G,G,R,R
7,G,G,R,R
8,G,G,R,R
9,G,G,R,R
10,G,G,R,R
11,G,G,R,R
12,G,G,R,R
13,G,G,R,R
14,G,G,R,R
15,G,G,R,R
16,G,G,R,R
17,G,G,R,R
18,G,G,R,R
19,G,G,R,R
20,G,G,R,R
21,G,G,R,R
22,Y,Y,R,R
23,Y,Y,R,R
24,Y,Y,R,R
25,Y,Y,R,R
26,R,R,R,R
27,R,R,R,R
28,R,R,G,G
29,R,R,G,G
30,R,R,G,G
31,R,R,G,G
32,R,R,G,G
33,R,R,G,G
34,R,R,G,G
35,R,R,G,G
36,R,R,G,G
37,R,R,G,G
38,R,R,G,G
39,R,R,G,G
40,R,R,G,G
41,R,R,G,G
42,R,R,G,G
43,R,R,G,G
44,R,R,G,G
45,R,R,G,G
46,R,R,G,G
47,R,R,G,G
48,R,R,G,G
49,R,R,Y,Y
50,R,R,Y,Y
51,R,R,Y,Y
52,R,R,Y,Y
53,R,R,R,R
54,R,R,R,R
55,G,G,R,R
56,G,G,R,R
57,G,G,R,R
58,G,G,R,R
59,G,G,R,R
60,G,G,R,R
61,G,G,R,R
62,G,G,R,R
63,G,G,R,R
64,G,G,R,R
65,G,G,R,R
66,G,G,R,R
67,G,G,R,R
68,G,G,R,R
69,G,G,R,R
70,G,G,R,R
71,G,G,R,R
72,G,G,R,R
73,G,G,R,R
74,G,G,R,R
75,G,G,R,R
76,Y,Y,R,R
77,Y,Y,R,R
78,Y,Y,R,R
79,Y,Y,R,R
80,R,R,R,R
81,R,R,R,R
82,R,R,G,G
83,R,R,G,G
84,R,R,G,G
85,R,R,G,G
86,R,R,G,G
87,R,R,G,G
88,R,R,G,G
89,R,R,G,G
90,R,R,G,G
91,R,R,G,G
92,R,R,G,G
93,R,R,G,G
94,R,R,G,G
95,R,R,G,G
96,R,R,G,G
97,R,R,G,G
98,R,R,G,G
99,R,R,G,G
100,R,R,G,G
101,R,R,G,G
102,R,R,G,G
103,R,R,Y,Y
104,R,R,Y,Y
105,R,R,Y,Y
106,R,R,Y,Y
107,R,R,R,R
108,R,R,R,R
109,G,G,R,R
110,G,G,R,R
111,G,G,R,R
112,G,G,R,R
113,G,G,R,R
114,G,G,R,R
115,G,G,R,R
116,G,G,R,R
117,G,G,R,R
118,G,G,R,R
119,G,G,R,R
120,G,G,R,R
121,G,G,R,R
122,G,G,R,R
123,G,G,R,R
124,G,G,R,R
125,G,G,R,R
126,G,G,R,R
127,G,G,R,R
128,G,G,R,R
129,G,G,R,R
130,Y,Y,R,R
131,Y,Y,R,R
132,Y,Y,R,R
133,Y,Y,R,R
134,R,R,R,R
135,R,R,R,R
136,R,R,G,G
137,R,R,G,G
138,R,R,G,G
139,R,R,G,G
140,R,R,G,G
141,R,R,G,G
142,R,R,G,G
143,R,R,G,G
144,R,R,G,G
145,R,R,G,G
146,R,R,G,G
147,R,R,G,G
148,R,R,G,G
149,R,R,G,G
150,R,R,G,G
151,R,R,G,G
152,R,R,G,G
153,R,R,G,G
154,R,R,G,G
155,R,R,G,G
156,R,R,G,G
157,R,R,Y,Y
158,R,R,Y,Y
159,R,R,Y,Y
160,R,R,Y,Y
161,R,R,R,R
162,R,R,R,R
163,G,G,R,R
164,G,G,R,R
165,G,G,R,R
166,G,G,R,R
167,G,G,R,R
168,G,G,R,R
169,G,G,R,R
170,G,G,R,R
171,G,G,R,R
172,G,G,R,R
173,G,G,R,R
174,G,G,R,R
175,G,G,R,R
176,G,G,R,R
177,G,G,R,R
178,G,G,R,R
179,G,G,R,R
180,G,G,R,R
181,G,G,R,R
182,G,G,R,R
183,G,G,R,R
184,Y,Y,R,R
185,Y,Y,R,R
186,Y,Y,R,R
187,Y,Y,R,R
188,R,R,R,R
189,R,R,R,R
190,R,R,G,G
191,R,R,G,G
192,R,R,G,G
193,R,R,G,G
194,R,R,G,G
195,R,R,G,G
196,R,R,G,G
197,R,R,G,G
198,R,R,G,G
199,R,R,G,G
200,R,R,G,G
