t,veh_id,x,y,origin
5,2,-39.5,0.0,W
6,2,-39.0,0.0,W
7,2,-38.5,0.0,W
8,2,-38.0,0.0,W
8,3,39.5,0.0,E
9,2,-37.5,0.0,W
9,3,39.0,0.0,E
9,4,0.0,-39.5,S
10,2,-37.0,0.0,W
10,3,38.5,0.0,E
10,4,0.0,-39.0,S
11,2,-36.5,0.0,W
11,3,38.0,0.0,E
11,4,0.0,-38.5,S
12,2,-36.0,0.0,W
12,3,37.5,0.0,E
12,4,0.0,-38.0,S
12,5,0.0,-39.5,S
13,2,-35.5,0.0,W
13,3,37.0,0.0,E
13,4,0.0,-37.5,S
13,5,0.0,-39.0,S
14,2,-35.0,0.0,W
14,3,36.5,0.0,E
14,4,0.0,-37.0,S
14,5,0.0,-38.5,S
15,2,-34.5,0.0,W
15,3,36.0,0.0,E
15,4,0.0,-36.5,S
15,5,0.0,-38.0,S
16,2,-34.0,0.0,W
16,3,35.5,0.0,E
16,4,0.0,-36.0,S
16,5,0.0,-37.5,S
16,6,39.5,0.0,E
17,2,-33.5,0.0,W
17,3,35.0,0.0,E
17,4,0.0,-35.5,S
17,5,0.0,-37.0,S
17,6,39.0,0.0,E
18,2,-33.0,0.0,W
18,3,34.5,0.0,E
18,4,0.0,-35.0,S
18,5,0.0,-36.5,S
18,6,38.5,0.0,E
18,7,0.0,-39.5,S
19,2,-32.5,0.0,W
19,3,34.0,0.0,E
19,4,0.0,-34.5,S
19,5,0.0,-36.0,S
19,6,38.0,0.0,E
19,7,0.0,-39.0,S
20,2,-32.0,0.0,W
20,3,33.5,0.0,E
20,4,0.0,-34.0,S
20,5,0.0,-35.5,S
20,6,37.5,0.0,E
20,7,0.0,-38.5,S
21,2,-31.5,0.0,W
21,3,33.0,0.0,E
21,4,0.0,-33.5,S
21,5,0.0,-35.0,S
21,6,37.0,0.0,E
21,7,0.0,-38.0,S
22,2,-31.0,0.0,W
22,3,32.5,0.0,E
22,4,0.0,-33.0,S
22,5,0.0,-34.5,S
22,6,36.5,0.0,E
22,7,0.0,-37.5,S
23,2,-30.5,0.0,W
23,3,32.0,0.0,E
23,4,0.0,-32.5,S
23,5,0.0,-34.0,S
23,6,36.0,0.0,E
23,7,0.0,-37.0,S
24,2,-30.0,0.0,W
24,3,31.5,0.0,E
24,4,0.0,-32.0,S
24,5,0.0,-33.5,S
